ID,Number,Title,Web Link,Current Version,Current Version Status,Current Version Adopted,Current Version Effective,Current Version Indexed,Current Version Discontinued,Version in progress,New Version Status,New version status date,New Version Description,Job Number,Link to latest notice,Latest Notice Date,Owner,Advise Minister,ECM Link,Network Link,External Stakeholders,Plan Number,Key Stakeholders,Other Stakeholders,Plan Set,Strategic Review Status,Strategic Review Status Date,Strategic Review Flag,Strategic Review Notes,CascadeGoal,CascadeGoalLink,Next Action,wpValue,wpValueDate,PlanStart,PlanFinish,wpCompletedValue,wpCompletedDate,CurrentBalance,CurrentBalanceDate,Informed By,PlanOwner,ApplicationNotes,_Item Type,_Path
12,22,Contribution Plan No 22 - Cycleways,Plan Online,Version 3.0.9,Adopted,15/12/2009,23/12/2009,01/07/2020,,Version 3.0.10,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 3:
• Revises the works program, taking account of outstanding works and expenditure to date.
• Adjusts the contribution to be applied per bedroom in accordance with the occupancy rates adopted by Council in the Tweed Shire Urban Release Strategy 2009.
• Applies the current Department of Planning Template for a S94 plan.
• Standardises the contribution for tourist development to apply per bedroom rather than per bed.
• Revises the admin component for the remaining works from 10% to 5%.
",A5922.0749.34860,,,Danny Rose;#19,FALSE,,,,22.00,David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Debbie Firestone;#79;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Clark;#89;#Ray Musgrave;#583;#Stephen Sharp;#640,CP22 Plan,"Status provided by Danny at ELT 23/10/2019.  Planning to review this plan.
",23/10/2019,,"Many projects likey completed. Works Plan shown as diagrams
",6040,https://tweed.executestrategy.net/user/goals/6040,"Asset owner to update Cascade status, including addition of Works Program and any commitments (see CP 26 as an example).Review Plan.",,,,,,,"-$586,600 ",31/03/2021,,Danny Rose;#75,,Item,prac/infrastructure/Lists/S94 Plans
13,1,Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution,Plan online,Version 10.1.8,Adopted,15/12/2009,23/12/2009,01/07/2020,,Version 10.1.9,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,Indexation for 2019 calculated and applied,A1103.3239.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_636_web.pdf#page=5,,Stewart Brawley;#40,FALSE,,,,1.00,Danny Rose;#75;#David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Musgrave;#583;#Infrastructure Coordination Committee;#133,CP01 Plan,Status provided by Stewart Brawley at ELT meeting 23/10/2019.,23/10/2019,,,5977,https://tweed.executestrategy.net/user/goals/5977,"
Asset owner to update Cascade status, including addition of Works Program and any commitments.
Expend remaining funds, then close plan.",,,10/06/1993,,,,"-$5,419,166 ",31/03/2021,,Stewart Brawley;#71,,Item,prac/infrastructure/Lists/S94 Plans
14,2,Contribution Plan No 2 - Banora Point West Drainage Scheme,Plan online,Version 5.0.9,Adopted,15/12/2009,23/12/2009,01/07/2020,,Version 5.0.10,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 5.0.9 indexes the contribution rates in the plan for 1/7/2019, resulting in a revised contribution rate of $XXXX per ha.",A4705.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_636_web.pdf#page=5,,Danny Rose;#19,FALSE,,,,2.00,David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Infrastructure Coordination Committee;#133;#Lindsay McGavin;#84;#Ray Musgrave;#583;#Denise Galle;#44;#Colleen Forbes;#251;#Jacqueline Batchelor;#368,CP02 Plan,Status provided by Danny Rose at ELT meeting 23/10/2019.  No significant issues.,23/10/2019,,"Date for Plan Start (15/4/1992) is the date of adoption of Version 2.  Date for Version 1 yet to be found. 
Needs Works Program to be updated could be mostly complete / (PM 10/4/20)



",5982,https://tweed.executestrategy.net/user/goals/5982,"Asset owner to update Cascade status, including addition of Works Program and any commitments.",,,15/04/1992,,,,"-$43,702 ",31/03/2021,,Danny Rose;#75,,Item,prac/infrastructure/Lists/S94 Plans
15,4,Contribution Plan No 4 - Tweed Road Contribution Plan,Plan Online,Version 6.3.8,Adopted,17/07/2014,06/08/2014,01/07/2020,,Version 6.3.9,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 6.3 amends the plan in accordance with Council's Business Investment Policydeletes heavy haulage contributions from the planclarifies the definition of 'Gross Leasable Area' (GLA).
",A7820.0749.34860,http://www.tweed.nsw.gov.au/Controls/TweedLink/Documents/Tweed%20Link%20870.pdf,06/08/2014,Danny Rose;#19,FALSE,,,,4.00,David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Musgrave;#583;#Ray Clark;#89,CP04 Plan,Status provided by Danny Rose at ELT meeting 23/10/2019.  Plan review is planned.  4 projects costed and ready for suitable grant applications to match TRCP funding.  No significant issues.,23/10/2019,,,5986,https://tweed.executestrategy.net/user/goals/5986,"
Asset owner to update Cascade status, including addition of Works Program and any commitments.
Review and Amend Plan.",,,05/12/1990,,,,"-$26,673,636 ",31/03/2021,"Tweed Road Development Strategy
",Danny Rose;#75,,Item,prac/infrastructure/Lists/S94 Plans
16,18,Contribution Plan No 18 - Council Administration Offices and Technical Support Facilities,Plan Online,Version 2.3.9,Adopted,15/12/2009,23/12/2009,01/07/2020,,Version 2.3.10,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,Version 6.3 amends the plan in accordance with Council's Business Investment Policy.,A5917.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_636_web.pdf#page=5,,David Oxenham;#15,FALSE,,,,18.00,Danny Rose;#75;#Vince Connell;#137;#Michael Chorlton;#48,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Clark;#89,CP18 Plan,"Discussed at ELT meeting 23/10/2019.  Troy asked whether funds from this plan could be used to move the depot.  Danny advised that while funds could be used to extend the current depot or add to the size of a relocated depot, they could not be used to move the depot.  Linda noted that this plan had only been allowed to continue after the 2009 review because it was servicing a loan, and that the State Government had at that time asked us to provide a business plan to justify the plan's continuance so it was possible that a review of the program in this plan would not be received favourably by the Minister.  Troy asked whether there was a record of what the Minister said.  Danny undertook to investigate further to ascertain the stated position.
",23/10/2019,TRUE,"Letter to Minister May 2009 summarising response to 'problem' plans, incl CP 18 ECM 1988497 (copy attached to item): 
It is understood that the infrastructure provided for in CP18 does not meet the definition of ""key community infrastructure"" in clause 31A of the amendment of Environmental Planning Regulation 2000 contained in Schedule 3 of the unproclaimed 2008 Amendment Act. If this Act is proclaimed, Council would make an application under proposed s 130 for the plan to be remade by the Minister. In this regard the infrastructure works already provided in accordance with this plan are the subject of an outstanding loan of $4.622M.
Letter to Minister 22/10/2009 from P Knight ECM 2112830: 
The business plans for CP 13 Cemeteries and CP18 Council Admin Offices and Technical Facilities are not yet finalised but will be forwarded by 31 December 2009. In the meantime CP13 and CP18 have been amended for exhibition with admin reduced from 10% to 5%.



NB:  business plans were never proceeded with, nor followed up on by the Minister (LK 4/5/2020)
",6037,https://tweed.executestrategy.net/user/goals/6037,"Asset owner to update Cascade status, including addition of Works Program and any commitments.",,,,,,,"-$2,104,918 ",31/03/2021,,David Oxenham;#22,,Item,prac/infrastructure/Lists/S94 Plans
17,20,Section 94 Plan No 20 - Public Open Space at Seabreeze Estate,Plan Online,1,Adopted,06/12/1999,06/12/1999,,,,,28/06/2019 0:00,"Meeting held 11/4/2013 of DR, LMcG, DG, CF, JT, LK to discuss status and next steps with this plan - agreed that Linda to contact Graham Burton and determine the current status of population to open space - if it is close to neutral (ie not under or over supplied) then CP 20 could be closed in future and CP 5 could take over for infill development, but that at this stage it is considered that this should only occur after development of stage 2 is complete.
 
For questions relating to whether a levy is to be charged, contact Lindsay McGavin, Colleen Forbes or Denise Galle for more information.",A5918.0749.34860,,,Stewart Brawley;#40,FALSE,,,,20.00,,,,"Briefly discussed at ELT meeting 23/10/2019.  Danny advised that this plan is 'finished'.  Linda advised that although finished it remains open pending definitive decision by ICC/DAU/ELT.
",23/10/2019,,"Closure Notes:Lindsay/LK April 2013Lindsay/LK May 2011

",0,no link,Close Plan after decision made by ICC/DAU/ELT.  ,,,,,,,-$839 ,31/03/2021,,Stewart Brawley;#71,,Item,prac/infrastructure/Lists/S94 Plans
18,21,Contribution Plan No 21 - Terranora Village Estate - Open Space and Community Facilities,Plan Online,Version 2.0.9,Adopted,15/12/2009,23/12/2009,01/07/2020,,Version 2.0.10,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 2:
• Revises the cost of the works program in accordance with the IPD;
• Adjusts the occupancy rates per bedroom to those adopted by Council in the Tweed Shire Urban Release Strategy 2009.
• Applies the current DoP Template for a S94 plan including clauses to enable future indexation.
• Revises the admin component from 10% to 5%.
• Includes Schedule for CDCs.
",A5919.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_636_web.pdf#page=5,,Stewart Brawley;#40,FALSE,,,,21.00,Robyn Grigg;#26;#Danny Rose;#75;#David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Kim Wilson;#446;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Musgrave;#583,CP21 Plan,"Discussed at ELT meeting 23/10/2019.  Noted that this is considered a greenfield area and there is still development to be completed in this area.
",23/10/2019,,"Of the WP total $58,145 is for Community Facilities ,the rest is structured open space which may be complete ?.This plan could be closed subject to investigation and included in brarder shire wide plans ? (PM 10/4/20)
",6039,https://tweed.executestrategy.net/user/goals/6039,"Asset owner to update Cascade status, including addition of Works Program and any commitments (see CP 26 as an example).",,,,,,,"-$45,990 ",31/03/2021,,Stewart Brawley;#71,,Item,prac/infrastructure/Lists/S94 Plans
19,25,Contribution Plan No 25 - SALT Open Space and Associated Car Parking,Plan Online,Version 3.0.9,Adopted,15/12/2009,23/12/2009,01/07/2020,,Version 3.0.10,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 3:
• Revises the cost of the works program in accordance with TSC Land Index and IPD;
• Adjusts the occupancy rates per bedroom to those adopted by Council in the Tweed Shire Urban Release Strategy 2009.
• Applies the current DoP Template for a S94 plan including clauses to enable future indexation of the plan.
• Adds a schedule with reference to CDCs.
• Revises the admin component from 10% to 5%.
",A5923.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_636_web.pdf#page=5,,Stewart Brawley;#40,FALSE,,,,25.00,Danny Rose;#75;#David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Musgrave;#583;#Ray Clark;#89,CP25 Plan,"Status provided by Stewart at ELT 23/10/2019.  
",23/10/2019,,,6042,https://tweed.executestrategy.net/user/goals/6042,"Asset owner to update Cascade status, including addition of Works Program and any commitments (see CP 26 as an example).
 ",,,,,,,"-$1,043,257 ",31/03/2021,,Stewart Brawley;#71,,Item,prac/infrastructure/Lists/S94 Plans
20,27,Section 94 Plan No 27 - Tweed Heads Master Plan - Local Open Space/Streetscaping,Plan Online,Version 1,Adopted,19/12/2005,19/12/2005,,,,Review with LEP by Josh Townsend,28/06/2019 0:00,,A5925.0749.34860,,,Vince Connell;#17,FALSE,,,,27.00,,,CP27 Plan,Status provided by Stewart at ELT 23/10/2019.,23/10/2019,,,6043,https://tweed.executestrategy.net/user/goals/6043,"Asset owner to update Cascade status, including addition of Works Program and any commitments.",,,,,,,"-$628,377 ",31/03/2021,,Vince Connell;#137,,Item,prac/infrastructure/Lists/S94 Plans
21,28,Contribution Plan No 28 - Seaside City,Plan Online,Version 1.0.7,Adopted,23/10/2006,25/10/2006,01/07/2020,,Version 1.0.8,"CPI Indexation calculated and added to plan, checked by Paul Drew, to be uploaded",16/06/2020 0:00,"Indexation in this plan first in effect from 1/12/2015.
Meeting held with Richtech and Planit in 2013 - they have agreed to go ahead and apply CPI indexation, after giving landowners some advance notice - currently awaiting a list of landowners to be supplied by Denise.",A3128.0749.34860,,,David Oxenham;#15,FALSE,,,,28.00,Danny Rose;#75;#Michael Chorlton;#48;#Stewart Brawley;#71;#Vince Connell;#137,Anthony Burnham;#40;#Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Musgrave;#583,CP28 Plan,"Status provided by Danny at ELT 23/10/2019
",23/10/2019,FALSE,All Time Receipts:Regional Structured Open Space(we keep)The Rest (return to Developer),6044,https://tweed.executestrategy.net/user/goals/6044,"Asset owner to update Cascade status, including addition of Works Program and any commitments.",,,,,,,"-$815,852 ",31/03/2021,,David Oxenham;#22,"?
These cases were workshopped with Lindsay on 1/4/2014.  Refer tothis plan to identify Richtech land.Richtech land - original lot (existing subdivision per CP 28) single dwelling (see DA12/0048)Water and sewer only*Richtech land - dual occ,
Water and sewer for the original lot +Water and sewer for new lots +CP 28 local structured open spaceonly** +Normal S94 contributionsexcept for regional open spaceNon Richtech - original lot (existing subdivision per CP 28) single dwelling (see DA13/0390)Water and sewer +Full CP 28 excluding structured open spaceNon Richtech - dual occ, multidwelling or subdivisionWater and sewer for the original lot +Water and sewer for new lots +CP 28 including local structured open space +All normal S94 contributionsincluding CP 26 regional open space
 
*   These lots don't pay CP 28 because Richtech are being reimbursed through CP 28 for infrastructure they have already built for that lot - if they still own it they would be paying themselves, if they have sold it, they should have factored that cost into the price.
** Local structured open space component of CP 28 comes to us, because we will be building it.  It is not returned to Richtech.
 

",Item,prac/infrastructure/Lists/S94 Plans
22,14,"Section 94 Plan No 14 - Rural Road Upgrading, Mebbin Springs Subdivision, Kyogle Road, Kunghur",Plan Online,1,Adopted (Repealed by CP 4 version 4.9?) Need to verify,15/02/1996,15/02/1996,,,,,,,A5916.0749.34860,,,Danny Rose;#19,FALSE,,,,14.00,,,,"Briefly mentioned at ELT meeting 23/10/2019.  This plan applies to a single stalled but commenced development and is of no immediate concern.
",23/10/2019,FALSE,,0,no link,,,,,,,,"-$108,323 ",31/03/2021,,Danny Rose;#75,,Item,prac/infrastructure/Lists/S94 Plans
23,13,Contribution Plan No 13 - Eviron Cemetery,Plan Online,Version 4.0.8,Adopted,15/12/2009,23/12/2009,01/07/2020,,Version 4.0.9,"Indexation applied, checked by Paul Drew, document updated, to be uploaded",16/06/2020 0:00,"Version 2:
• Revises the cost of the works program in accordance with relevant indices
• Adjusts the occupancy rates per bedroom to those adopted by Council in the Tweed Shire Urban Release Strategy 2009.
• Applies the current Department of Planning Template for a S94 plan.
• Revises the admin component from 10% to 5%.
 ",A5920.0749.34860,http://www.tweed.nsw.gov.au/LinkWeb/pdfs/Tweed_Link_636_web.pdf#page=5,,Stewart Brawley;#40,FALSE,,,,13.00,Danny Rose;#75;#David Oxenham;#22;#Michael Chorlton;#48;#Vince Connell;#137,Colleen Forbes;#251;#David McNicoll;#284;#Denise Galle;#44;#Infrastructure Coordination Committee;#133;#Jacqueline Batchelor;#368;#Lindsay McGavin;#84;#Ray Musgrave;#583,CP13 Plan,"Status provided by Stewart Brawley at ELT meeting 23/10/2019.
",23/10/2019,,,6035,https://tweed.executestrategy.net/user/goals/6035,"Asset owner to update Cascade status, including addition of Works Program and any commitments.",,,,,,,"-$133,101 ",31/03/2021,,Stewart Brawley;#71,,Item,prac/infrastructure/Lists/S94 Plans
24,29,Section 94 Plan No 29 - Emergency Facilities,,1,Being prepared by Doreen,,,,,1,Being prepared by Doreen,,,,,,Doreen Harwood;#114,FALSE,,,,29.00,,,,,,,,,,,,,,,,,,,,,,Item,prac/infrastructure/Lists/S94 Plans
25,0,Section 94 Plan No 0 - TEST PLAN FOR TESTING WORKFLOWS,,1,,17/12/2009,17/12/2009,,,,,,,Dummy Job Number on Test Plan,,,Linda Krausz;#8,FALSE,,,,0.00,,,,,,,,,,,,,,,,,,,,,,Item,prac/infrastructure/Lists/S94 Plans
26,30,Section 94 Plan No 30 - Regional Performing Arts Centre,,0,,,,,,1.0,New plan required,05/03/2010 0:00,"Rob has commenced preparing the works program and nexus argument for this plan, and having discussions with Lesley Buckley",,,,Gary Corbett;#37,FALSE,,,,30.00,,,,,,,,,,,,,,,,,,,,,,Item,prac/infrastructure/Lists/S94 Plans
27,31,Section 94 Plan No 31 - Terranora Area E,,1,"Exhibited, but not yet adopted, following advice from Minister",,,,,1,Request forwarded to Minister,01/12/2011 0:00,"CP 31 Terranora Area E is a new S94 Plan made in accordance with Draft DCP B24 - Area E Urban Release Development Code.  The draft works program provides for roadworks, structured open space, casual open space, and stormwater and flooding facilities.",A5926.0749,,,Danny Rose;#19,FALSE,,,,31.00,,,,,,,,,,,,,,,,,,,,,,Item,prac/infrastructure/Lists/S94 Plans
